Trial,SOA,Target,Response,Accuracy,randomGator
1,30,br,bl,0,Shantungosuchus_brachycephalus
2,0,br,br,1,Shantungosuchus_brachycephalus
3,60,br,bl,0,Shantungosuchus_brachycephalus
4,30,tr,tl,0,Shantungosuchus_brachycephalus
5,0,tr,br,0,Shantungosuchus_brachycephalus
6,90,bl,tr,0,Shantungosuchus_brachycephalus
7,0,br,br,1,Shantungosuchus_brachycephalus
8,180,tl,br,0,Shantungosuchus_brachycephalus
9,150,tr,br,0,Shantungosuchus_brachycephalus
10,180,br,tr,0,Shantungosuchus_brachycephalus
11,150,tr,br,0,Shantungosuchus_brachycephalus
12,0,br,tr,0,Shantungosuchus_brachycephalus
13,120,bl,tl,0,Shantungosuchus_brachycephalus
14,60,bl,br,0,Shantungosuchus_brachycephalus
15,150,br,tr,0,Shantungosuchus_brachycephalus
16,120,bl,br,0,Shantungosuchus_brachycephalus
17,150,tl,br,0,Shantungosuchus_brachycephalus
18,0,br,br,1,Shantungosuchus_brachycephalus
19,60,bl,bl,1,Shantungosuchus_brachycephalus
20,180,br,br,1,Shantungosuchus_brachycephalus
21,90,bl,br,0,Shantungosuchus_brachycephalus
22,30,tl,tr,0,Shantungosuchus_brachycephalus
23,180,tr,br,0,Shantungosuchus_brachycephalus
24,90,br,br,1,Shantungosuchus_brachycephalus
25,150,tl,br,0,Shantungosuchus_brachycephalus
26,180,br,br,1,Shantungosuchus_brachycephalus
27,150,bl,tl,0,Shantungosuchus_brachycephalus
28,60,tr,br,0,Shantungosuchus_brachycephalus
29,0,tl,br,0,Shantungosuchus_brachycephalus
30,0,bl,br,0,Shantungosuchus_brachycephalus
31,180,tr,bl,0,Shantungosuchus_brachycephalus
32,90,bl,br,0,Shantungosuchus_brachycephalus
33,120,br,tr,0,Shantungosuchus_brachycephalus
34,150,tl,br,0,Shantungosuchus_brachycephalus
35,120,tr,br,0,Shantungosuchus_brachycephalus
36,150,br,bl,0,Shantungosuchus_brachycephalus
37,120,tr,br,0,Shantungosuchus_brachycephalus
38,0,tl,tl,1,Shantungosuchus_brachycephalus
39,90,bl,br,0,Shantungosuchus_brachycephalus
40,0,bl,br,0,Shantungosuchus_brachycephalus
41,150,br,br,1,Shantungosuchus_brachycephalus
42,120,tr,br,0,Shantungosuchus_brachycephalus
43,30,tl,br,0,Shantungosuchus_brachycephalus
44,30,tl,br,0,Shantungosuchus_brachycephalus
45,120,bl,br,0,Shantungosuchus_brachycephalus
46,0,tl,br,0,Shantungosuchus_brachycephalus
47,30,br,tr,0,Shantungosuchus_brachycephalus
48,120,tl,br,0,Shantungosuchus_brachycephalus
49,180,tr,tl,0,Shantungosuchus_brachycephalus
50,60,bl,tr,0,Shantungosuchus_brachycephalus
51,30,tr,br,0,Shantungosuchus_brachycephalus
52,90,tr,tr,1,Shantungosuchus_brachycephalus
53,30,tl,tl,1,Shantungosuchus_brachycephalus
54,150,br,br,1,Shantungosuchus_brachycephalus
55,150,bl,tr,0,Shantungosuchus_brachycephalus
56,0,tl,br,0,Shantungosuchus_brachycephalus
57,90,tr,tr,1,Shantungosuchus_brachycephalus
58,150,bl,bl,1,Shantungosuchus_brachycephalus
59,30,tr,br,0,Shantungosuchus_brachycephalus
60,60,tl,tr,0,Shantungosuchus_brachycephalus
61,150,tr,br,0,Shantungosuchus_brachycephalus
62,120,br,br,1,Shantungosuchus_brachycephalus
63,60,bl,bl,1,Shantungosuchus_brachycephalus
64,120,tl,tr,0,Shantungosuchus_brachycephalus
65,180,tl,tl,1,Shantungosuchus_brachycephalus
66,180,tl,tl,1,Shantungosuchus_brachycephalus
67,0,bl,tr,0,Shantungosuchus_brachycephalus
68,30,br,tl,0,Shantungosuchus_brachycephalus
69,30,tl,br,0,Shantungosuchus_brachycephalus
70,180,tl,tl,1,Shantungosuchus_brachycephalus
71,60,tl,tl,1,Shantungosuchus_brachycephalus
72,180,tl,tl,1,Shantungosuchus_brachycephalus
73,30,tl,tl,1,Shantungosuchus_brachycephalus
74,60,br,tl,0,Shantungosuchus_brachycephalus
75,90,br,tl,0,Shantungosuchus_brachycephalus
76,30,bl,br,0,Shantungosuchus_brachycephalus
77,150,tl,tl,1,Shantungosuchus_brachycephalus
78,90,tr,tl,0,Shantungosuchus_brachycephalus
79,60,tl,br,0,Shantungosuchus_brachycephalus
80,60,br,bl,0,Shantungosuchus_brachycephalus
81,150,bl,br,0,Shantungosuchus_brachycephalus
82,120,tr,br,0,Shantungosuchus_brachycephalus
83,90,tr,br,0,Shantungosuchus_brachycephalus
84,180,br,tr,0,Shantungosuchus_brachycephalus
85,150,bl,br,0,Shantungosuchus_brachycephalus
86,120,tl,tl,1,Shantungosuchus_brachycephalus
87,120,tr,tl,0,Shantungosuchus_brachycephalus
88,30,bl,br,0,Shantungosuchus_brachycephalus
89,120,bl,br,0,Shantungosuchus_brachycephalus
90,60,br,tl,0,Shantungosuchus_brachycephalus
